,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
28057,498,South Africa,Bangladesh,4,39,10,10.17,Johannesburg,118,97,28.0
24944,470,South Africa,England,0,27,9,7.36,Cape Town,154,98,22.0
23317,452,New Zealand,Sri Lanka,4,24,10,16.0,Wellington,162,111,24.0
60175,880,West Indies,Sri Lanka,1,148,4,8.0,Colombo,162,9,24.0
841,12,South Africa,New Zealand,1,136,7,9.38,Auckland,185,33,22.0
38682,612,India,South Africa,1,113,6,8.17,Durban,168,37,22.0
34491,566,Australia,India,0,126,9,9.95,Barbados,184,44,21.0
24393,465,India,Pakistan,1,99,5,6.46,Durban,141,28,21.0
19667,307,England,Pakistan,6,86,8,8.19,Manchester,131,57,21.0
8528,101,India,Bangladesh,1,174,8,8.92,Colombo,176,3,24.0
52008,773,Afghanistan,Bangladesh,0,32,9,6.19,Mirpur,72,89,22.0
25858,477,Sri Lanka,Australia,0,43,3,4.3,Cape Town,101,60,22.0
46893,705,New Zealand,South Africa,0,62,2,4.65,Durban,86,40,23.0
24100,461,West Indies,Bangladesh,2,47,9,6.13,Johannesburg,164,74,24.0
61118,911,South Africa,England,0,1,10,1.2,Mumbai,229,115,27.0
51794,771,New Zealand,Bangladesh,1,88,8,8.38,Mirpur,204,57,27.0
53765,802,Sri Lanka,New Zealand,4,47,7,6.13,Chittagong,119,74,27.0
53096,795,Australia,West Indies,4,15,10,8.18,Mirpur,178,109,27.0
55187,815,South Africa,West Indies,1,206,6,12.12,Johannesburg,231,18,27.0
19574,306,England,Australia,1,111,6,7.32,Southampton,145,29,27.0
23296,451,Australia,England,6,194,5,10.78,Sydney,221,12,27.0
24190,464,England,Australia,4,16,10,6.4,Cape Town,135,105,28.0
27204,488,West Indies,South Africa,0,48,7,4.72,Johannesburg,131,59,28.0
28963,508,Australia,West Indies,1,128,5,7.68,London,169,20,27.0
10315,134,South Africa,Sri Lanka,0,95,9,8.14,Centurion,180,50,26.0
24653,467,Bangladesh,South Africa,0,131,2,7.56,Cape Town,144,16,26.0
64704,964,Sri Lanka,Australia,0,88,3,6.0,Colombo,128,32,23.0
43288,660,New Zealand,England,1,65,7,5.82,Pallekele,148,53,24.0
60873,909,Afghanistan,Sri Lanka,2,6,10,4.5,Kolkata,153,112,26.0
34328,565,South Africa,New Zealand,0,42,9,7.64,Barbados,170,87,28.0
703,11,New Zealand,Bangladesh,2,79,7,6.58,Mount Maunganui,194,48,29.0
23717,455,West Indies,England,1,76,9,10.36,London,208,76,26.0
43117,659,India,Australia,1,28,9,7.64,Colombo,140,98,27.0
25901,477,Sri Lanka,Australia,1,85,2,5.05,Cape Town,101,19,26.0
34714,568,New Zealand,Pakistan,1,49,8,6.26,Barbados,133,73,26.0
38568,609,Pakistan,South Africa,1,85,4,5.6,Abu Dhabi,120,29,25.0
28087,498,South Africa,Bangladesh,1,79,7,9.12,Johannesburg,118,68,21.0
35773,576,Sri Lanka,England,1,116,5,6.33,St Lucia,128,10,26.0
59348,874,New Zealand,Sri Lanka,0,53,10,9.94,Mount Maunganui,182,88,25.0
4766,65,Sri Lanka,India,1,94,7,8.95,Colombo,170,57,24.0
9166,109,England,Sri Lanka,0,37,10,12.33,Colombo,187,102,25.0
41046,635,West Indies,England,0,105,5,6.56,London,125,24,26.0
39544,619,West Indies,Pakistan,2,109,8,8.18,St Lucia,150,40,26.0
60045,879,Sri Lanka,West Indies,6,187,7,10.49,Pallekele,215,13,25.0
51111,751,Sri Lanka,Pakistan,0,142,5,7.28,Dubai,145,3,25.0
51956,772,New Zealand,Sri Lanka,0,109,5,6.48,Pallekele,142,19,25.0
60085,880,West Indies,Sri Lanka,0,17,10,4.08,Colombo,162,95,28.0
31927,541,Sri Lanka,India,1,122,7,7.96,Colombo,171,28,26.0
21224,431,West Indies,New Zealand,4,55,10,15.71,Auckland,180,99,24.0
8250,99,Sri Lanka,Bangladesh,4,147,7,10.38,Colombo,214,35,23.0
19626,307,England,Pakistan,0,18,9,4.7,Manchester,131,97,22.0
34094,563,Australia,Bangladesh,0,48,7,5.65,Barbados,141,69,21.0
24707,468,New Zealand,India,0,50,9,7.69,Johannesburg,190,81,20.0
42861,657,West Indies,England,4,10,10,6.67,Pallekele,179,111,21.0
16873,239,New Zealand,England,0,98,6,8.78,Wellington,176,53,20.0
28864,508,Australia,West Indies,0,3,8,2.25,London,169,112,21.0
53650,800,India,Australia,1,58,7,5.9,Mirpur,159,61,21.0
35317,573,New Zealand,England,2,32,9,6.4,St Lucia,149,90,22.0
2806,34,New Zealand,England,2,78,9,8.07,Wellington,196,62,29.0
866,12,South Africa,New Zealand,1,173,5,9.27,Auckland,185,8,29.0
55703,820,South Africa,West Indies,4,137,9,8.56,Durban,195,24,31.0
662,11,New Zealand,Bangladesh,0,36,8,6.97,Mount Maunganui,194,89,32.0
58248,865,India,Australia,1,63,10,8.79,Melbourne,184,77,34.0
8618,102,Sri Lanka,Bangladesh,0,89,5,6.43,Colombo,159,37,34.0
53444,798,South Africa,England,4,149,7,8.6,Chittagong,196,16,30.0
26993,486,Australia,India,2,124,6,7.44,Mumbai,166,20,50.0
26023,478,Bangladesh,Pakistan,2,126,3,7.79,Cape Town,140,23,52.0
29915,521,India,West Indies,1,48,7,5.88,London,153,71,49.0
16842,239,New Zealand,England,1,53,9,8.83,Wellington,176,84,49.0
34197,564,Pakistan,England,4,37,9,7.16,Barbados,147,89,46.0
14571,195,Sri Lanka,Australia,1,107,6,6.9,Melbourne,142,27,44.0
28986,509,India,Bangladesh,0,0,10,0.0,Nottingham,180,119,48.0
17795,247,India,New Zealand,1,64,9,7.53,Mount Maunganui,163,69,50.0
53053,794,Sri Lanka,England,2,137,9,8.84,Chittagong,189,27,51.0
22088,442,South Africa,England,1,20,10,6.67,Cape Town,191,102,51.0
13277,161,West Indies,India,0,4,10,6.0,Kolkata,109,116,54.0
566,10,New Zealand,Bangladesh,6,83,7,8.59,Mount Maunganui,195,62,53.0
40994,635,West Indies,England,0,56,9,7.47,London,125,75,50.0
55928,822,England,New Zealand,0,104,6,8.43,Manchester,191,46,56.0
17931,250,West Indies,India,0,45,5,4.29,Lauderhill,95,57,59.0
54931,811,Bangladesh,Sri Lanka,0,91,3,5.63,Chittagong,120,23,59.0
24210,464,England,Australia,0,31,9,5.31,Cape Town,135,85,59.0
17583,245,India,New Zealand,1,123,7,8.29,Hamilton,179,31,58.0
57413,835,Pakistan,Bangladesh,4,81,7,6.48,Mirpur,141,45,58.0
8463,101,India,Bangladesh,0,66,10,7.62,Colombo,176,68,62.0
6743,85,Sri Lanka,Pakistan,0,106,8,6.49,Abu Dhabi,124,22,59.0
57812,858,Australia,South Africa,6,133,3,7.82,Durban,157,18,54.0
39821,621,South Africa,Australia,4,117,7,6.82,Cape Town,146,17,58.0
47284,708,Pakistan,South Africa,0,181,4,9.53,Centurion,195,6,56.0
64213,958,Pakistan,Bangladesh,1,30,6,3.21,Mirpur,129,64,53.0
35983,578,Australia,England,1,55,6,4.85,Barbados,147,52,53.0
15437,222,Australia,South Africa,2,190,4,9.74,Johannesburg,196,3,52.0
48228,716,Sri Lanka,Australia,2,92,7,6.65,Melbourne,161,37,48.0
6722,85,Sri Lanka,Pakistan,2,86,9,6.62,Abu Dhabi,124,42,50.0
30490,528,Sri Lanka,New Zealand,2,18,9,6.35,Nottingham,158,103,49.0
57389,835,Pakistan,Bangladesh,1,50,10,5.66,Mirpur,141,67,50.0
47444,710,New Zealand,England,4,51,10,9.87,Hamilton,192,89,48.0
14670,196,Pakistan,Australia,1,76,7,6.33,Sydney,107,48,48.0
34213,564,Pakistan,England,1,58,9,7.73,Barbados,147,75,47.0
64362,960,Sri Lanka,Pakistan,0,110,9,7.76,Mirpur,150,35,46.0
49598,739,Australia,England,1,3,10,3.6,Sydney,195,115,45.0
46007,695,India,Sri Lanka,1,71,9,7.1,Pallekele,155,60,42.0
29203,511,England,Pakistan,0,137,7,9.56,London,185,34,43.0
54240,806,South Africa,India,4,38,9,9.12,Mirpur,172,95,43.0
40710,631,South Africa,New Zealand,0,6,10,7.2,Auckland,165,115,41.0
63766,951,India,Bangladesh,1,97,7,6.61,Mirpur,166,32,37.0
1959,24,West Indies,India,0,100,4,7.41,Lauderhill,143,39,37.0
53059,794,Sri Lanka,England,0,143,9,8.67,Chittagong,189,21,37.0
46573,701,Australia,England,6,9,10,10.8,Southampton,248,115,37.0
58222,865,India,Australia,1,12,10,4.24,Melbourne,184,103,38.0
23551,454,South Africa,India,0,2,10,3.0,Johannesburg,126,116,36.0
8383,100,Sri Lanka,India,0,123,4,8.11,Colombo,152,29,37.0
23997,457,West Indies,South Africa,2,128,10,10.97,Johannesburg,205,50,40.0
34394,565,South Africa,New Zealand,4,130,7,7.88,Barbados,170,21,35.0
57791,858,Australia,South Africa,0,104,4,7.7,Durban,157,39,34.0
33044,550,West Indies,Australia,1,93,4,5.81,Sydney,138,24,37.0
52755,790,South Africa,New Zealand,1,43,7,6.29,Chittagong,170,79,42.0
49858,741,England,West Indies,4,21,9,6.3,Barbados,152,100,42.0
5872,78,England,India,4,15,10,11.25,Manchester,159,112,45.0
29866,521,India,West Indies,4,4,10,12.0,London,153,118,45.0
53312,796,Bangladesh,India,1,105,5,6.43,Mirpur,138,22,46.0
55233,816,Pakistan,Australia,0,23,8,5.31,Dubai,96,94,46.0
63308,928,England,West Indies,1,144,1,7.65,Kolkata,155,7,45.0
3953,55,Bangladesh,Sri Lanka,1,124,8,9.66,Colombo,176,43,44.0
45041,675,Pakistan,Bangladesh,1,105,5,7.16,Mirpur,135,32,45.0
6607,84,Sri Lanka,Pakistan,0,68,3,5.37,Abu Dhabi,102,44,45.0
685,11,New Zealand,Bangladesh,1,50,7,5.56,Mount Maunganui,194,66,50.0
13230,160,Pakistan,New Zealand,1,90,9,6.92,Dubai,166,42,50.0
28947,508,Australia,West Indies,0,103,6,7.19,London,169,34,51.0
13301,161,West Indies,India,4,28,8,6.22,Kolkata,109,93,50.0
25304,473,Australia,Pakistan,0,8,9,4.8,Johannesburg,164,110,47.0
873,12,South Africa,New Zealand,0,181,4,9.13,Auckland,185,1,47.0
23009,449,West Indies,New Zealand,1,60,6,5.29,Auckland,126,52,50.0
28225,499,Australia,South Africa,6,127,4,7.4,Johannesburg,166,17,52.0
32289,544,Australia,Pakistan,0,87,4,6.52,Dubai,108,40,52.0
33129,551,Australia,Pakistan,1,74,7,7.53,Melbourne,127,61,51.0
59413,874,New Zealand,Sri Lanka,0,135,7,8.35,Mount Maunganui,182,23,51.0
38629,612,India,South Africa,6,49,9,9.8,Durban,168,90,48.0
51054,751,Sri Lanka,Pakistan,0,62,7,6.1,Dubai,145,59,49.0
52712,789,West Indies,India,1,122,3,6.1,Mirpur,129,0,49.0
20984,422,Australia,India,0,59,9,10.11,Sydney,194,85,46.0
59942,879,Sri Lanka,West Indies,4,18,10,13.5,Pallekele,215,112,37.0
42117,649,England,Afghanistan,2,73,8,7.55,Colombo,196,62,40.0
44081,666,Pakistan,Australia,1,145,4,7.44,Colombo,149,3,32.0
5222,69,Pakistan,New Zealand,1,63,3,4.2,Wellington,105,30,33.0
40228,625,Australia,India,1,9,10,4.5,Sydney,171,108,34.0
35384,573,New Zealand,England,1,118,7,7.38,St Lucia,149,24,33.0
52054,773,Afghanistan,Bangladesh,0,59,4,4.66,Mirpur,72,44,33.0
56685,828,England,South Africa,1,94,4,6.2,Cape Town,134,29,31.0
64634,964,Sri Lanka,Australia,3,24,9,7.58,Colombo,128,101,30.0
32251,544,Australia,Pakistan,2,61,9,8.71,Dubai,108,78,27.0
42133,649,England,Afghanistan,1,85,8,6.99,Colombo,196,47,29.0
56383,826,South Africa,Australia,0,29,8,5.61,Melbourne,101,89,26.0
59151,872,Sri Lanka,England,6,97,5,7.37,Southampton,140,41,26.0
10858,139,Australia,India,0,79,7,6.97,Sydney,164,52,26.0
30453,526,England,West Indies,2,132,6,7.76,London,161,18,27.0
46683,701,Australia,England,6,238,5,12.64,Southampton,248,7,27.0
29208,511,England,Pakistan,2,141,7,9.3,London,185,29,32.0
47592,711,New Zealand,England,0,62,8,6.53,Wellington,139,63,33.0
19444,305,Australia,England,1,95,5,6.55,Southampton,157,33,33.0
7601,92,Sri Lanka,India,1,88,4,6.52,Mumbai,135,39,37.0
31027,532,Sri Lanka,Pakistan,4,64,6,5.91,London,138,55,36.0
29698,519,England,South Africa,0,88,4,6.07,Nottingham,111,33,38.0
43298,660,New Zealand,England,1,74,6,5.77,Pallekele,148,43,37.0
24464,466,New Zealand,Sri Lanka,6,51,8,7.29,Johannesburg,164,78,40.0
23991,457,West Indies,South Africa,1,113,10,10.59,Johannesburg,205,56,41.0
57062,832,South Africa,Bangladesh,0,127,7,8.19,Mirpur,169,27,40.0
1802,23,West Indies,India,1,114,10,13.15,Lauderhill,245,68,40.0
35628,575,West Indies,Australia,1,86,1,5.8,St Lucia,105,31,36.0
42537,653,India,England,1,77,9,7.97,Colombo,170,62,37.0
54212,805,Sri Lanka,West Indies,6,156,5,7.8,Mirpur,160,0,39.0
26212,480,New Zealand,Pakistan,2,46,10,6.9,Cape Town,143,80,38.0
19751,308,Pakistan,England,1,66,10,8.25,Manchester,195,72,37.0
9299,120,South Africa,Sri Lanka,1,41,8,8.48,Colombo,98,91,37.0
54163,805,Sri Lanka,West Indies,6,84,7,7.1,Mirpur,160,49,37.0
42913,657,West Indies,England,0,95,10,9.34,Pallekele,179,59,38.0
40191,624,Sri Lanka,Australia,1,131,5,8.02,Pallekele,157,22,41.0
21467,434,Pakistan,New Zealand,1,13,9,6.0,Auckland,153,107,40.0
49682,739,Australia,England,1,131,6,9.14,Sydney,195,34,37.0
34612,567,Sri Lanka,West Indies,2,108,9,8.88,Barbados,195,47,39.0
30082,522,South Africa,West Indies,1,147,7,9.38,London,183,26,37.0
1839,23,West Indies,India,1,198,9,13.5,Lauderhill,245,32,37.0
24668,468,New Zealand,India,1,2,10,6.0,Johannesburg,190,118,37.0
27254,488,West Indies,South Africa,0,108,3,5.94,Johannesburg,131,11,42.0
30089,522,South Africa,West Indies,0,159,6,9.45,London,183,19,42.0
30273,525,England,India,2,58,9,7.1,London,153,71,46.0
51634,770,Sri Lanka,England,1,30,8,7.2,London,183,95,45.0
12809,157,Pakistan,Australia,4,34,10,8.16,Dubai,150,95,46.0
44146,667,India,South Africa,0,69,6,6.68,Colombo,152,58,44.0
912,13,South Africa,England,0,43,7,6.97,Southampton,142,83,44.0
56694,828,England,South Africa,0,108,3,6.55,Cape Town,134,21,44.0
54650,809,Pakistan,South Africa,0,69,8,6.27,Cape Town,176,54,45.0
63943,955,Bangladesh,Sri Lanka,4,36,7,6.35,Mirpur,147,86,54.0
3153,37,New Zealand,Australia,1,46,10,12.0,Auckland,150,97,51.0
29576,517,Sri Lanka,West Indies,0,147,8,9.91,Nottingham,192,31,55.0
26482,482,India,Pakistan,1,71,8,6.76,Johannesburg,157,57,54.0
3983,55,Bangladesh,Sri Lanka,4,160,5,8.97,Colombo,176,13,51.0
6936,87,India,South Africa,0,84,8,11.72,Johannesburg,203,77,52.0
49983,742,England,West Indies,4,52,10,13.57,Barbados,165,97,53.0
21605,435,Pakistan,New Zealand,2,30,8,6.43,Hamilton,163,92,48.0
7554,92,Sri Lanka,India,0,37,7,6.0,Mumbai,135,83,54.0
59519,875,Sri Lanka,New Zealand,1,78,4,5.78,Auckland,142,39,53.0
2000,25,West Indies,Pakistan,1,2,10,6.0,Dubai,115,118,38.0
5124,68,New Zealand,West Indies,0,226,6,11.89,Mount Maunganui,243,6,38.0
44455,670,West Indies,Sri Lanka,0,0,10,0.0,Colombo,137,119,38.0
33770,558,Australia,Pakistan,1,162,8,10.02,St Lucia,191,23,38.0
43073,658,South Africa,Pakistan,4,97,6,5.94,Colombo,133,22,41.0
5459,71,Pakistan,New Zealand,1,101,8,7.77,Mount Maunganui,181,42,43.0
17359,243,New Zealand,India,1,182,5,10.11,Auckland,203,12,45.0
31898,541,Sri Lanka,India,0,81,9,7.59,Colombo,171,56,44.0
57403,835,Pakistan,Bangladesh,0,65,8,5.82,Mirpur,141,53,43.0
21206,431,West Indies,New Zealand,0,7,10,6.0,Auckland,180,113,42.0
26494,482,India,Pakistan,1,91,8,7.38,Johannesburg,157,46,43.0
23587,454,South Africa,India,0,31,8,5.03,Johannesburg,126,83,42.0
24544,466,New Zealand,Sri Lanka,1,163,4,8.22,Johannesburg,164,1,42.0
45489,691,West Indies,New Zealand,0,46,9,6.57,Lauderhill,209,78,46.0
33632,557,India,South Africa,0,100,8,7.5,St Lucia,186,40,41.0
34208,564,Pakistan,England,4,51,9,7.65,Barbados,147,80,42.0
34239,564,Pakistan,England,1,85,6,7.18,Barbados,147,49,46.0
29950,521,India,West Indies,0,75,6,5.36,London,153,36,44.0
63948,955,Bangladesh,Sri Lanka,1,44,7,6.77,Mirpur,147,81,44.0
11431,144,Bangladesh,West Indies,1,48,10,13.71,Lauderhill,184,99,42.0
60838,908,Pakistan,Bangladesh,4,146,8,9.42,Kolkata,201,27,43.0
10076,132,Pakistan,South Africa,6,108,5,8.1,Centurion,168,40,43.0
41411,640,Pakistan,England,1,101,5,6.52,Dubai,144,27,45.0
54629,809,Pakistan,South Africa,0,44,8,5.87,Cape Town,176,75,41.0
14511,195,Sri Lanka,Australia,0,36,8,6.55,Melbourne,142,87,40.0
9363,120,South Africa,Sri Lanka,1,91,2,5.93,Colombo,98,28,35.0
24246,464,England,Australia,4,79,6,6.97,Cape Town,135,52,37.0
53412,798,South Africa,England,1,98,9,8.05,Chittagong,196,47,37.0
33564,557,India,South Africa,0,10,9,4.0,St Lucia,186,105,36.0
26354,481,India,Australia,1,54,8,5.49,Durban,188,61,35.0
2282,27,West Indies,Pakistan,1,22,7,4.0,Abu Dhabi,103,87,31.0
60666,907,England,West Indies,1,60,9,8.18,Mumbai,182,76,31.0
16824,239,New Zealand,England,1,24,9,7.2,Wellington,176,100,32.0
27107,487,New Zealand,South Africa,1,85,4,5.8,Johannesburg,129,32,33.0
60432,894,South Africa,Sri Lanka,2,81,9,7.97,Cape Town,169,59,30.0
52231,786,Sri Lanka,South Africa,0,38,9,9.5,Chittagong,165,96,32.0
63744,951,India,Bangladesh,4,66,7,6.0,Mirpur,166,54,32.0
57520,836,Pakistan,Sri Lanka,1,68,8,7.03,Colombo,175,62,30.0
64424,961,Bangladesh,India,1,28,9,6.72,Mirpur,120,95,29.0
64685,964,Sri Lanka,Australia,0,74,6,6.34,Colombo,128,50,33.0
24073,461,West Indies,Bangladesh,0,19,9,5.18,Johannesburg,164,98,34.0
43068,658,South Africa,Pakistan,1,89,6,5.68,Colombo,133,26,34.0
48216,716,Sri Lanka,Australia,0,74,7,6.25,Melbourne,161,49,32.0
35544,575,West Indies,Australia,0,12,9,10.29,St Lucia,105,113,36.0
32613,547,New Zealand,Sri Lanka,4,38,8,6.33,Colombo,141,84,36.0
10276,134,South Africa,Sri Lanka,0,28,9,5.42,Centurion,180,89,30.0
12751,156,Pakistan,Australia,1,104,8,6.93,Dubai,147,30,30.0
53416,798,South Africa,England,4,107,8,8.34,Chittagong,196,43,39.0
61135,911,South Africa,England,1,46,10,12.55,Mumbai,229,98,37.0
29321,513,Australia,Sri Lanka,0,86,5,6.45,Nottingham,159,40,37.0
40712,631,South Africa,New Zealand,4,10,10,8.57,Auckland,165,113,38.0
36220,580,New Zealand,Australia,6,72,6,5.54,Wellington,118,42,39.0
58691,868,England,Pakistan,0,154,2,8.25,Dubai,172,8,38.0
58407,866,Australia,India,0,112,7,8.62,Sydney,197,42,34.0
16578,237,India,West Indies,0,32,10,9.6,Mumbai,240,100,34.0
24652,467,Bangladesh,South Africa,6,131,3,7.63,Cape Town,144,17,34.0
35398,573,New Zealand,England,1,134,5,7.38,St Lucia,149,11,33.0
40289,625,Australia,India,1,88,8,7.33,Sydney,171,48,32.0
12323,153,New Zealand,India,1,71,10,11.21,Hamilton,212,82,31.0
2664,33,England,Australia,1,46,7,6.73,Melbourne,137,79,26.0
58249,865,India,Australia,2,65,10,8.86,Melbourne,184,76,26.0
24841,469,Bangladesh,Australia,1,43,9,5.61,Cape Town,123,74,28.0
17523,245,India,New Zealand,1,41,10,8.48,Hamilton,179,91,25.0
33789,558,Australia,Pakistan,6,191,5,10.05,St Lucia,191,6,22.0
23601,454,South Africa,India,0,45,6,5.4,Johannesburg,126,70,44.0
3919,55,Bangladesh,Sri Lanka,2,77,9,10.5,Colombo,176,76,39.0
11386,143,Bangladesh,West Indies,1,139,6,8.6,Lauderhill,171,23,36.0
40982,635,West Indies,England,2,47,10,8.55,London,125,87,33.0
11347,143,Bangladesh,West Indies,1,66,7,6.83,Lauderhill,171,62,34.0
28272,500,South Africa,Australia,0,25,8,5.77,Centurion,156,94,35.0
26966,486,Australia,India,0,96,8,7.89,Mumbai,166,47,41.0
21416,432,New Zealand,West Indies,1,182,8,10.5,Mount Maunganui,238,16,44.0
2493,31,New Zealand,Australia,1,115,2,5.9,Sydney,117,3,48.0
27930,497,Australia,England,0,24,10,7.2,Manchester,145,100,39.0
57540,836,Pakistan,Sri Lanka,1,90,7,6.92,Colombo,175,42,40.0
22700,447,Sri Lanka,England,1,11,10,5.08,Southampton,163,107,32.0
19300,304,England,Australia,1,85,7,7.97,Southampton,162,56,33.0
30039,522,South Africa,West Indies,0,71,9,8.35,London,183,69,32.0
51092,751,Sri Lanka,Pakistan,4,104,6,6.3,Dubai,145,21,32.0
43757,664,West Indies,New Zealand,1,63,7,9.22,Pallekele,139,79,35.0
29093,509,India,Bangladesh,4,155,7,8.77,Nottingham,180,14,35.0
58486,867,England,Pakistan,4,34,7,6.18,Dubai,160,87,36.0
51892,772,New Zealand,Sri Lanka,1,43,8,6.97,Pallekele,142,83,37.0
28876,508,Australia,West Indies,4,11,8,4.12,London,169,104,36.0
15602,224,Australia,South Africa,4,80,10,12.63,Cape Town,193,82,38.0
24551,467,Bangladesh,South Africa,0,8,10,8.0,Cape Town,144,114,37.0
44655,671,West Indies,England,2,76,7,5.92,Nottingham,172,43,36.0
46654,701,Australia,England,0,157,8,11.21,Southampton,248,36,35.0
41914,646,India,Afghanistan,0,121,6,7.19,Colombo,159,19,34.0
46208,697,India,England,0,12,9,4.24,Mumbai,177,103,33.0
33592,557,India,South Africa,1,39,8,5.71,St Lucia,186,79,32.0
29024,509,India,Bangladesh,0,55,10,8.68,Nottingham,180,82,26.0
48531,720,West Indies,Bangladesh,6,76,8,8.29,Mirpur,197,65,23.0
5390,71,Pakistan,New Zealand,0,12,10,7.2,Mount Maunganui,181,110,20.0
41618,642,England,Pakistan,4,62,8,6.53,Abu Dhabi,129,63,21.0
38725,613,Pakistan,New Zealand,0,5,10,7.5,Auckland,143,116,21.0
3752,54,Bangladesh,Sri Lanka,3,9,9,7.71,Colombo,155,113,24.0
44207,668,Sri Lanka,Pakistan,4,4,10,12.0,Colombo,139,118,25.0
42736,656,New Zealand,Sri Lanka,1,3,10,2.25,Pallekele,174,112,24.0
24738,468,New Zealand,India,2,89,7,7.74,Johannesburg,190,51,23.0
22545,445,South Africa,New Zealand,1,118,3,6.94,Johannesburg,133,18,23.0
55884,822,England,New Zealand,2,48,9,9.29,Manchester,191,89,23.0
58065,860,South Africa,Australia,1,151,7,8.39,Cape Town,178,12,24.0
11464,144,Bangladesh,West Indies,1,89,8,9.89,Lauderhill,184,66,22.0
48097,715,Australia,Sri Lanka,1,79,7,6.08,Sydney,137,42,25.0
44155,667,India,South Africa,2,77,6,6.51,Colombo,152,49,29.0
34864,569,England,South Africa,1,100,8,8.57,Barbados,168,50,29.0
47927,714,Australia,Pakistan,3,41,10,8.2,Dubai,168,90,31.0
32955,550,West Indies,Australia,1,12,10,7.2,Sydney,138,110,30.0
44168,667,India,South Africa,4,101,6,7.3,Colombo,152,37,27.0
29744,520,Sri Lanka,Pakistan,1,19,10,16.29,London,150,113,27.0
48078,715,Australia,Sri Lanka,0,58,7,5.9,Sydney,137,61,27.0
35820,577,Pakistan,Australia,2,37,10,6.53,St Lucia,191,86,27.0
30655,529,South Africa,India,0,62,8,6.41,Nottingham,130,62,28.0
4977,67,New Zealand,West Indies,4,52,9,11.56,Mount Maunganui,102,93,28.0
19252,304,England,Australia,4,31,10,11.62,Southampton,162,104,29.0
57653,837,Sri Lanka,Pakistan,1,79,6,7.18,Colombo,172,54,27.0
41280,639,Sri Lanka,Pakistan,1,108,7,8.0,Abu Dhabi,141,39,27.0
30879,531,Sri Lanka,West Indies,0,45,10,6.92,London,158,81,27.0
38747,613,Pakistan,New Zealand,0,37,9,8.88,Auckland,143,95,30.0
3180,37,New Zealand,Australia,2,75,6,9.18,Auckland,150,71,27.0
30595,528,Sri Lanka,New Zealand,0,157,5,7.92,Nottingham,158,1,27.0
53329,796,Bangladesh,India,1,131,5,6.89,Mirpur,138,6,27.0
57007,832,South Africa,Bangladesh,4,58,10,8.92,Mirpur,169,81,28.0
26680,484,India,Australia,0,14,8,5.6,Melbourne,74,105,27.0
53256,796,Bangladesh,India,1,35,7,5.0,Mirpur,138,78,24.0
15289,221,South Africa,England,1,184,6,10.62,Centurion,222,16,40.0
29753,520,Sri Lanka,Pakistan,1,26,10,9.75,London,150,104,40.0
34499,566,Australia,India,0,142,8,10.14,Barbados,184,36,40.0
32991,550,West Indies,Australia,1,43,8,6.0,Sydney,138,77,42.0
53155,795,Australia,West Indies,0,100,6,8.82,Mirpur,178,52,37.0
60471,894,South Africa,Sri Lanka,1,132,7,8.0,Cape Town,169,21,37.0
17973,250,West Indies,India,1,79,3,4.51,Lauderhill,95,15,35.0
59190,872,Sri Lanka,England,0,140,2,7.12,Southampton,140,2,38.0
30045,522,South Africa,West Indies,1,83,9,8.74,London,183,63,43.0
64156,957,Sri Lanka,India,0,137,2,6.91,Mirpur,138,1,43.0
22439,444,Australia,New Zealand,1,208,5,10.58,Auckland,214,2,42.0
17824,247,India,New Zealand,0,104,8,7.8,Mount Maunganui,163,40,43.0
14679,196,Pakistan,Australia,1,91,7,6.74,Sydney,107,39,46.0
19532,306,England,Australia,0,53,8,6.49,Southampton,145,71,44.0
22460,445,South Africa,New Zealand,4,31,10,10.33,Johannesburg,133,102,42.0
19917,309,Pakistan,England,0,132,7,9.1,Manchester,190,33,37.0
53619,800,India,Australia,0,35,9,7.24,Mirpur,159,91,37.0
36893,586,Pakistan,New Zealand,0,3,10,1.29,Dubai,161,106,34.0
29347,513,Australia,Sri Lanka,1,129,4,7.3,Nottingham,159,14,38.0
43348,661,West Indies,Sri Lanka,1,3,10,3.0,Pallekele,129,114,38.0
23090,450,South Africa,Australia,0,35,10,8.08,Johannesburg,201,94,36.0
509,10,New Zealand,Bangladesh,1,4,9,8.0,Mount Maunganui,195,117,36.0
48143,716,Sri Lanka,Australia,0,3,10,6.0,Melbourne,161,117,37.0
56568,827,South Africa,Australia,0,118,7,7.45,Sydney,145,25,36.0
34078,563,Australia,Bangladesh,1,35,8,5.83,Barbados,141,84,33.0
6541,84,Sri Lanka,Pakistan,2,14,9,8.4,Abu Dhabi,102,110,29.0
60230,892,South Africa,Sri Lanka,4,74,7,10.57,Centurion,126,78,23.0
21602,435,Pakistan,New Zealand,0,27,8,6.48,Hamilton,163,95,23.0
43016,658,South Africa,Pakistan,1,31,7,4.43,Colombo,133,78,24.0
47880,713,Pakistan,Australia,2,128,7,7.46,Dubai,151,17,23.0
54136,805,Sri Lanka,West Indies,1,51,7,6.95,Mirpur,160,76,23.0
43177,659,India,Australia,0,89,5,6.59,Colombo,140,39,19.0
21254,431,West Indies,New Zealand,0,81,5,10.12,Auckland,180,72,18.0
8062,98,Bangladesh,India,4,39,8,6.88,Colombo,139,86,18.0
