,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
4759,65,Sri Lanka,India,0,84,7,9.0,Colombo,170,64,27.0
59850,878,New Zealand,Pakistan,1,62,9,9.3,Wellington,196,80,27.0
49648,739,Australia,England,0,68,8,7.7,Sydney,195,67,28.0
56575,827,South Africa,Australia,4,128,6,7.53,Sydney,145,18,24.0
48126,715,Australia,Sri Lanka,0,121,7,6.85,Sydney,137,14,24.0
62357,921,New Zealand,Bangladesh,0,29,9,6.21,Kolkata,145,92,23.0
59680,876,Pakistan,New Zealand,0,168,2,8.62,Auckland,171,3,23.0
52903,792,West Indies,Bangladesh,1,86,10,7.82,Mirpur,171,54,23.0
7606,92,Sri Lanka,India,1,92,4,6.42,Mumbai,135,34,23.0
8727,103,Bangladesh,India,1,77,6,6.7,Colombo,166,51,21.0
8607,102,Sri Lanka,Bangladesh,1,68,5,5.67,Colombo,159,48,21.0
53930,803,Bangladesh,Australia,1,111,8,7.57,Mirpur,153,32,21.0
61150,911,South Africa,England,4,87,10,14.11,Mumbai,229,83,22.0
34386,565,South Africa,New Zealand,1,109,7,7.19,Barbados,170,29,23.0
41883,646,India,Afghanistan,1,74,7,6.34,Colombo,159,50,23.0
43398,661,West Indies,Sri Lanka,1,49,8,5.25,Pallekele,129,64,27.0
7615,92,Sri Lanka,India,0,99,4,6.32,Mumbai,135,26,28.0
54145,805,Sri Lanka,West Indies,1,61,7,6.91,Mirpur,160,67,29.0
41916,646,India,Afghanistan,0,122,6,7.11,Colombo,159,17,24.0
34433,566,Australia,India,1,16,10,5.33,Barbados,184,102,25.0
51735,771,New Zealand,Bangladesh,0,6,10,7.2,Mirpur,204,115,26.0
49888,741,England,West Indies,0,43,7,5.16,Barbados,152,70,27.0
49043,734,South Africa,Sri Lanka,1,56,6,4.67,Colombo,115,48,28.0
16656,237,India,West Indies,1,175,8,11.05,Mumbai,240,25,29.0
3588,52,West Indies,Pakistan,1,62,4,4.28,Barbados,111,33,33.0
52573,788,Pakistan,Australia,2,179,6,9.59,Mirpur,191,8,32.0
26795,485,New Zealand,England,0,14,8,3.5,Manchester,123,96,32.0
47216,708,Pakistan,South Africa,0,75,9,9.18,Centurion,195,71,36.0
5396,71,Pakistan,New Zealand,2,17,10,6.38,Mount Maunganui,181,104,44.0
537,10,New Zealand,Bangladesh,0,42,8,8.4,Mount Maunganui,195,90,49.0
34760,568,New Zealand,Pakistan,1,100,5,6.59,Barbados,133,29,48.0
9853,130,South Africa,Pakistan,0,178,5,9.8,Cape Town,192,11,48.0
57913,859,South Africa,Australia,1,118,7,8.85,Johannesburg,204,40,43.0
51356,765,New Zealand,West Indies,4,173,5,9.27,Auckland,189,8,41.0
63778,951,India,Bangladesh,1,127,6,7.62,Mirpur,166,20,44.0
36173,580,New Zealand,Australia,0,18,8,3.48,Wellington,118,89,44.0
60317,893,South Africa,Sri Lanka,1,71,5,6.45,Johannesburg,113,54,46.0
11350,143,Bangladesh,West Indies,0,67,7,6.59,Lauderhill,171,59,49.0
53248,796,Bangladesh,India,0,27,7,4.76,Mirpur,138,86,47.0
27341,489,England,New Zealand,6,112,6,8.84,Auckland,184,44,48.0
8635,102,Sri Lanka,Bangladesh,6,125,5,7.5,Colombo,159,20,47.0
38814,613,Pakistan,New Zealand,0,96,3,6.4,Auckland,143,30,41.0
53557,799,Pakistan,Bangladesh,1,130,7,8.57,Mirpur,190,29,42.0
33927,562,South Africa,Afghanistan,1,13,9,11.14,Barbados,139,113,38.0
17290,243,New Zealand,India,2,72,10,11.08,Auckland,203,81,42.0
51901,772,New Zealand,Sri Lanka,0,49,7,6.39,Pallekele,142,74,41.0
17529,245,India,New Zealand,4,63,10,10.8,Hamilton,179,85,41.0
11406,143,Bangladesh,West Indies,2,167,6,8.56,Lauderhill,171,3,37.0
45449,691,West Indies,New Zealand,0,12,10,12.0,Lauderhill,209,114,37.0
54980,814,South Africa,West Indies,0,30,9,6.92,Cape Town,165,94,36.0
15233,221,South Africa,England,1,90,8,10.0,Centurion,222,66,37.0
31496,538,New Zealand,West Indies,1,39,8,6.88,Auckland,155,86,29.0
63752,951,India,Bangladesh,1,78,7,6.32,Mirpur,166,46,26.0
38057,603,Australia,England,0,72,7,7.71,Melbourne,147,64,32.0
42679,655,Bangladesh,Pakistan,0,106,8,8.83,Pallekele,175,48,32.0
47386,709,England,New Zealand,0,172,7,10.98,Auckland,214,26,32.0
64664,964,Sri Lanka,Australia,1,54,7,6.61,Colombo,128,71,34.0
56805,829,England,South Africa,6,117,7,8.36,Johannesburg,171,36,38.0
54441,807,India,Sri Lanka,1,115,8,6.76,Mirpur,130,18,29.0
5130,68,New Zealand,West Indies,6,243,5,12.15,Mount Maunganui,243,0,29.0
51676,770,Sri Lanka,England,1,86,6,7.82,London,183,54,30.0
49470,738,England,Australia,1,1,10,6.0,Melbourne,130,119,35.0
59611,876,Pakistan,New Zealand,0,58,8,7.1,Auckland,171,71,35.0
58656,868,England,Pakistan,0,106,7,8.05,Dubai,172,41,35.0
44047,666,Pakistan,Australia,1,104,8,7.34,Colombo,149,35,37.0
64182,958,Pakistan,Bangladesh,1,17,8,4.08,Mirpur,129,95,38.0
19381,305,Australia,England,2,20,8,5.0,Southampton,157,96,39.0
9810,130,South Africa,Pakistan,6,109,9,9.76,Cape Town,192,53,39.0
40381,626,Australia,India,1,49,8,7.17,Melbourne,131,79,42.0
56505,827,South Africa,Australia,4,44,10,8.0,Sydney,145,87,43.0
53828,802,Sri Lanka,New Zealand,4,104,3,5.89,Chittagong,119,14,43.0
